occurrence_id,species,countryCode,location,source,longitude,latitude,tas_mean_c,prec_mean_annual,elevation_m
1,Vespa crabro,NL,NA,gbif,5.75,51.5,11.25,59.38461538461539,22
2,Vespa crabro,NL,NA,gbif,4.45,51.95,11.11923076923074,76.38461538461539,-2
3,Vespa crabro,DE,NA,gbif,8.67,49.42,11.465384615384664,67.15384615384616,105
4,Vespa crabro,DE,NA,gbif,13.64,51.06,9.88846153846157,48.69230769230769,211
5,Vespa crabro,NA,"13890 Mouriès, France",inat,4.86,43.69,15.926923076923115,32.84615384615385,23
6,Vespa crabro,NL,NA,gbif,5.95,52.25,10.75769230769231,65.38461538461539,19
7,Vespa crabro,NL,NA,gbif,6.1,51.3,11.442307692307736,53.46153846153846,18
8,Vespa crabro,NL,NA,gbif,5.75,53.2,10.480769230769226,72.38461538461539,0
9,Vespa crabro,BA,NA,gbif,18.87,44.44,11.811538461538476,78.92307692307692,281
10,Vespa crabro,NA,"2670 Fanhões, Portugal",inat,-9.18,38.9,15.288461538461547,39,243
11,Vespa crabro,AT,NA,gbif,15.7,46.78,10.496153846153902,77.15384615384616,296
12,Vespa crabro,NA,"Friedberg, Bayern, Deutschland",inat,10.99,48.34,9.33461538461546,64.61538461538461,505
13,Vespa crabro,DE,NA,gbif,8.86,49.05,10.7038461538462,61.76923076923077,317
14,Vespa crabro,NL,NA,gbif,5.25,51.8,11.103846153846176,65.84615384615384,3
15,Vespa crabro,NA,"Riepholm, 27374 Visselhövede, Deutschland",inat,10.35,53.22,10.134615384615358,50.23076923076923,36
16,Vespa crabro,NA,"Baden, AT-NO, AT",inat,16.25,47.92,10.750000000000057,55,260
17,Vespa crabro,NL,NA,gbif,4.9,52.25,10.950000000000044,77.15384615384616,-3
18,Vespa crabro,NA,"Graz, Styria, AT",inat,15.45,47.04,9.950000000000044,73.46153846153847,337
19,Vespa crabro,NL,NA,gbif,5.8,51.3,11.39615384615388,56.76923076923077,30
20,Vespa crabro,CH,NA,gbif,8.05,46.75,10.650000000000034,106.07692307692308,770
21,Vespa crabro,CH,NA,gbif,8.05,46.75,NA,NA,770
22,Vespa crabro,NL,NA,gbif,6.5,53.2,10.196153846153834,72.23076923076923,-2
23,Vespa crabro,DE,NA,gbif,10.65,52.43,10.496153846153902,46.84615384615385,61
24,Vespa crabro,LU,NA,gbif,6.04,49.62,10.21923076923082,65.3076923076923,304
25,Vespa crabro,NA,"10011 Agliè TO, Italia",inat,7.77,45.36,13.21923076923082,50.84615384615385,322
26,Vespa crabro,NL,NA,gbif,5.5,51.4,11.326923076923094,56.46153846153846,24
27,Vespa crabro,NL,NA,gbif,6.65,51.95,10.988461538461593,57.53846153846154,28
28,Vespa crabro,NL,NA,gbif,6.55,52,10.988461538461593,58.76923076923077,19
29,Vespa crabro,NA,"Via Cà Baldone, Montescudo-Monte Colombo, Emilia-Romagna, IT",inat,12.55,43.94,14.626923076923106,53.46153846153846,129
30,Vespa crabro,DE,NA,gbif,9.5,53.57,10.119230769230796,60.53846153846154,7
31,Vespa crabro,NL,NA,gbif,4.6,52.35,11.126923076923106,85.3076923076923,7
32,Vespa crabro,NL,NA,gbif,5.25,52.25,10.88076923076926,71.76923076923077,4
33,Vespa crabro,GB,NA,gbif,-0.89,53.07,10.365384615384698,55.92307692307692,22
34,Vespa crabro,IT,NA,gbif,13.42,46.14,10.726923076923129,165.46153846153845,328
35,Vespa crabro,NL,NA,gbif,5.7,51.35,11.380769230769316,56.76923076923077,26
36,Vespa crabro,NL,NA,gbif,6.6,53.15,10.19615384615389,72.07692307692308,2
37,Vespa crabro,NA,"Broomfield, Bridgwater TA5 2EQ, UK",inat,-3.11,51.08,10.19615384615389,112.84615384615384,191
38,Vespa crabro,AT,NA,gbif,15.38,47.04,8.919230769230808,79,419
39,Vespa crabro,NA,"Nevers, Bourgogne-Franche-Comté, France",inat,3.49,47.13,11.450000000000044,71.15384615384616,367
40,Vespa crabro,GB,NA,gbif,-1.04,53.26,10.06538461538463,59.46153846153846,53
41,Vespa crabro,NL,NA,gbif,4.6,51.55,11.242307692307747,67.76923076923077,8
42,Vespa crabro,NL,NA,gbif,5.2,52.3,10.83461538461546,73.46153846153847,6
43,Vespa crabro,NL,NA,gbif,5.2,52.1,10.88846153846157,73.15384615384616,5
44,Vespa crabro,NL,NA,gbif,6.55,51.9,11.042307692307702,57.15384615384615,21
45,Vespa crabro,DE,NA,gbif,8.51,52.96,10.288461538461604,59.07692307692308,39
46,Vespa crabro,NA,"Rossendorf, Radeberg, Deutschland",inat,13.94,51.07,9.388461538461511,55.30769230769231,286
47,Vespa crabro,NA,"Estrada das Azenhas, Ervedal, Alentejo, PT",inat,-7.82,39.05,16.680769230769272,55.76923076923077,165
48,Vespa crabro,NA,"Cité internationale, 69006 Lyon, France",inat,4.85,45.78,13.39615384615388,61.15384615384615,204
